,広告名,メインウェブサイト名,キャンペーン,広告タイプ,バナーサイズ,アフィリエイト報酬,インプレッション,CTR,CVR,7日間のクリック,過去7日間の報酬,獲得報酬,リンクテキスト,テキストリンクコード,バナーコード,短縮リンク,登録日
297,5,4real(フィギュア専門のフリーマーケット),4real-フィギュア専門のフリーマーケット　フィギュア購入者様集客,広告,600x500,￥300,0,0%,0%,0,0,0,フィギュア専門のフリーマーケット,<a href = 'https://mttag.com/s/Rm__Wq241mw' rel='nofollow'><strong>フィギュア専門のフリーマーケット</strong></a><img src = 'https://mttag.com/banner/Rm__Wq241mw' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/Rm__Wq241mw' rel='nofollow'><img src = 'https://mttag.com/banner/Rm__Wq241mw' alt = 'フィギュア専門のフリーマーケット' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/Rm__Wq241mw,2021-02-04 04:27:41.197000
298,4,4real(フィギュア専門のフリーマーケット),4real-フィギュア専門のフリーマーケット　フィギュア購入者様集客,広告,600x500,￥300,0,21100%,0%,0,0,0,フィギュア専門のフリーマーケット,<a href = 'https://mttag.com/s/zNIAmNJk3IM' rel='nofollow'><strong>フィギュア専門のフリーマーケット</strong></a><img src = 'https://mttag.com/banner/zNIAmNJk3IM' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/zNIAmNJk3IM' rel='nofollow'><img src = 'https://mttag.com/banner/zNIAmNJk3IM' alt = 'フィギュア専門のフリーマーケット' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/zNIAmNJk3IM,2021-02-04 04:27:05.871000
299,3,4real(フィギュア専門のフリーマーケット),4real-フィギュア専門のフリーマーケット　フィギュア購入者様集客,広告,600x500,￥300,0,0%,0%,0,0,0,フィギュア専門のフリーマーケット,<a href = 'https://mttag.com/s/nhqcFdF_8jk' rel='nofollow'><strong>フィギュア専門のフリーマーケット</strong></a><img src = 'https://mttag.com/banner/nhqcFdF_8jk' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/nhqcFdF_8jk' rel='nofollow'><img src = 'https://mttag.com/banner/nhqcFdF_8jk' alt = 'フィギュア専門のフリーマーケット' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/nhqcFdF_8jk,2021-02-04 04:26:18.750000
300,2,4real(フィギュア専門のフリーマーケット),4real-フィギュア専門のフリーマーケット　フィギュア購入者様集客,広告,600x500,￥300,0,0%,0%,0,0,0,フィギュア専門のフリーマーケット,<a href = 'https://mttag.com/s/yftb9LnNOLE' rel='nofollow'><strong>フィギュア専門のフリーマーケット</strong></a><img src = 'https://mttag.com/banner/yftb9LnNOLE' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/yftb9LnNOLE' rel='nofollow'><img src = 'https://mttag.com/banner/yftb9LnNOLE' alt = 'フィギュア専門のフリーマーケット' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/yftb9LnNOLE,2021-02-04 04:25:52.588000
301,1,4real(フィギュア専門のフリーマーケット),4real-フィギュア専門のフリーマーケット　フィギュア購入者様集客,広告,600x500,￥300,0,1%,0%,0,0,0,フィギュア専門のフリーマーケット,<a href = 'https://mttag.com/s/OqOlTGFctDQ' rel='nofollow'><strong>フィギュア専門のフリーマーケット</strong></a><img src = 'https://mttag.com/banner/OqOlTGFctDQ' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/OqOlTGFctDQ' rel='nofollow'><img src = 'https://mttag.com/banner/OqOlTGFctDQ' alt = 'フィギュア専門のフリーマーケット' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/OqOlTGFctDQ,2021-02-04 04:25:23.614000
302,SPARKバナー07(300*250),SPARK CAREER (大学生への就職活動支援サービス),キャンペーン1,広告,300x250,"¥30,000",0,0%,0%,0,0,0,プロの指導で大手企業へ内定しよう,<a href = 'https://mttag.com/s/KH76AX31lb8' rel='nofollow'><strong>プロの指導で大手企業へ内定しよう</strong></a><img src = 'https://mttag.com/banner/KH76AX31lb8' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/KH76AX31lb8' rel='nofollow'><img src = 'https://mttag.com/banner/KH76AX31lb8' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/KH76AX31lb8,2021-01-14 07:45:43.660000
306,SPARKバナー03(300*250),SPARK CAREER (大学生への就職活動支援サービス),キャンペーン1,広告,300x250,"¥30,000",0,0%,0%,0,0,0,プロの指導で大手企業へ内定しよう,<a href = 'https://mttag.com/s/wmeuFTnPPBU' rel='nofollow'><strong>プロの指導で大手企業へ内定しよう</strong></a><img src = 'https://mttag.com/banner/wmeuFTnPPBU' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/wmeuFTnPPBU' rel='nofollow'><img src = 'https://mttag.com/banner/wmeuFTnPPBU' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/wmeuFTnPPBU,2021-01-14 07:41:45.802000
372,ABCクリニック来院確認_300x250_ss3_02,男性治療専門の美容外科『ABCクリニック』,来院確認,広告,300x250,"¥12,308",0,0%,0%,0,0,0,,,<a href='https://mttag.com/s/JH6WafiJwlI' rel='nofollow'><img src = 'https://mttag.com/banner/JH6WafiJwlI' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/JH6WafiJwlI,2020-07-13 09:38:58.382000
373,ABCクリニック来院確認_300x250_ss3_01,男性治療専門の美容外科『ABCクリニック』,来院確認,広告,300x250,"¥12,308",0,2%,0%,0,0,0,,,<a href='https://mttag.com/s/e03FrHOetJY' rel='nofollow'><img src = 'https://mttag.com/banner/e03FrHOetJY' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/e03FrHOetJY,2020-07-13 09:38:34.815000
374,ABCクリニック来院確認_300x250_ss2_02,男性治療専門の美容外科『ABCクリニック』,来院確認,広告,300x250,"¥12,308",0,2%,0%,0,0,0,,,<a href='https://mttag.com/s/uNybm80RpBU' rel='nofollow'><img src = 'https://mttag.com/banner/uNybm80RpBU' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/uNybm80RpBU,2020-07-13 09:38:13.123000
375,ABCクリニック来院確認_300x250_ss2_01,男性治療専門の美容外科『ABCクリニック』,来院確認,広告,300x250,"¥12,308",0,0%,0%,0,0,0,,,<a href='https://mttag.com/s/aIwzpgP3PvY' rel='nofollow'><img src = 'https://mttag.com/banner/aIwzpgP3PvY' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/aIwzpgP3PvY,2020-07-13 09:37:50.346000
376,ABCクリニック来院確認_300x250_ss1_02,男性治療専門の美容外科『ABCクリニック』,来院確認,広告,300x250,"¥12,308",0,2%,0%,0,0,0,,,<a href='https://mttag.com/s/Bs0npiRkJvk' rel='nofollow'><img src = 'https://mttag.com/banner/Bs0npiRkJvk' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/Bs0npiRkJvk,2020-07-13 09:37:27.856000
377,ABCクリニック来院確認_300x250_ss1_01,男性治療専門の美容外科『ABCクリニック』,来院確認,広告,300x250,"¥12,308",0,0%,0%,0,0,0,,,<a href='https://mttag.com/s/ZmkGRTTnmhY' rel='nofollow'><img src = 'https://mttag.com/banner/ZmkGRTTnmhY' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/ZmkGRTTnmhY,2020-07-13 09:37:07.697000
399,250.250　製作費0円HP制作のご案内,無料ホームページ制作,ホームページ制作新規申込み,広告,250x250,"¥5,000",0,47%,0%,0,0,0,無料HP制作のご相談はこちらから,<a href = 'https://mttag.com/s/XBcSDv2DQsA' rel='nofollow'><strong>無料HP制作のご相談はこちらから</strong></a><img src = 'https://mttag.com/banner/XBcSDv2DQsA' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/XBcSDv2DQsA' rel='nofollow'><img src = 'https://mttag.com/banner/XBcSDv2DQsA' alt = 'ホームページ制作' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/XBcSDv2DQsA,2020-06-16 02:59:26.221000
405,300.250　製作費0円HP制作のご案内,無料ホームページ制作,ホームページ制作新規申込み,広告,300x250,"¥5,000",0,6%,0%,0,0,0,無料HP制作のご相談はこちらから,<a href = 'https://mttag.com/s/X1mBYG-2V3M' rel='nofollow'><strong>無料HP制作のご相談はこちらから</strong></a><img src = 'https://mttag.com/banner/X1mBYG-2V3M' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/X1mBYG-2V3M' rel='nofollow'><img src = 'https://mttag.com/banner/X1mBYG-2V3M' alt = 'ホームページ制作' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/X1mBYG-2V3M,2020-06-16 02:52:59.350000
454,毛だまトレタ_300x250,【美容院シェアNo.1】テスコム（TESCOM）オンラインショップ,テスコム商品購入完了,広告,300x250,4 %,0,264%,0%,0,0,0,,,<a href='https://mttag.com/s/8TVf1L36CwE' rel='nofollow'><img src = 'https://mttag.com/banner/8TVf1L36CwE' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/8TVf1L36CwE,2020-04-17 07:53:33.921000
461,全自動コーヒーメーカーバナー_300x250,【美容院シェアNo.1】テスコム（TESCOM）オンラインショップ,テスコム商品購入完了,広告,300x250,4 %,0,7%,0%,0,0,0,,,<a href='https://mttag.com/s/MaKvTCb96HA' rel='nofollow'><img src = 'https://mttag.com/banner/MaKvTCb96HA' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/MaKvTCb96HA,2020-04-17 07:48:25.485000
465,CPNコラーゲンドライヤーバナー_300x250,【美容院シェアNo.1】テスコム（TESCOM）オンラインショップ,テスコム商品購入完了,広告,300x250,4 %,0,144%,0%,0,0,0,,,<a href='https://mttag.com/s/B50Mp9gYCH8' rel='nofollow'><img src = 'https://mttag.com/banner/B50Mp9gYCH8' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/B50Mp9gYCH8,2020-04-17 07:46:17.998000
469,Nobby by テスコム（ヘアアイロン）バナー_300x250,【美容院シェアNo.1】テスコム（TESCOM）オンラインショップ,テスコム商品購入完了,広告,300x250,4 %,0,136%,0%,0,0,0,,,<a href='https://mttag.com/s/1085iWAOcmQ' rel='nofollow'><img src = 'https://mttag.com/banner/1085iWAOcmQ' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/1085iWAOcmQ,2020-04-17 07:43:06.870000
473,Nobby by テスコムバナー_300x250,【美容院シェアNo.1】テスコム（TESCOM）オンラインショップ,テスコム商品購入完了,広告,300x250,4 %,0,154%,0%,0,0,0,,,<a href='https://mttag.com/s/kiVn49FufvY' rel='nofollow'><img src = 'https://mttag.com/banner/kiVn49FufvY' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/kiVn49FufvY,2020-04-17 07:41:01.724000
570,司法書士法人杉山事務所・相談申し込み300x250,司法書士法人杉山事務所,司法書士法人杉山事務所・相談申し込み完了,広告,300x250,"¥10,000",0,96%,0%,0,0,0,司法書士法人杉山事務所・相談申し込み完了,<a href = 'https://mttag.com/s/wgvJnJCn34s' rel='nofollow'><strong>司法書士法人杉山事務所・相談申し込み完了</strong></a><img src = 'https://mttag.com/banner/wgvJnJCn34s' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/wgvJnJCn34s' rel='nofollow'><img src = 'https://mttag.com/banner/wgvJnJCn34s' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/wgvJnJCn34s,2019-10-24 09:34:51.493000
574,司法書士法人杉山事務所・相談申し込み完了500x500,司法書士法人杉山事務所,司法書士法人杉山事務所・相談申し込み完了,広告,500x500,"¥10,000",0,12%,0%,0,0,0,司法書士法人杉山事務所・相談申し込み完了,<a href = 'https://mttag.com/s/0L2kFkIGz08' rel='nofollow'><strong>司法書士法人杉山事務所・相談申し込み完了</strong></a><img src = 'https://mttag.com/banner/0L2kFkIGz08' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/0L2kFkIGz08' rel='nofollow'><img src = 'https://mttag.com/banner/0L2kFkIGz08' alt = '' width = '500' height = '500' border = '0' /></a>,https://mttag.com/s/0L2kFkIGz08,2019-10-24 09:32:25.529999
576,司法書士法人杉山事務所・相談申し込み完了200x200,司法書士法人杉山事務所,司法書士法人杉山事務所・相談申し込み完了,広告,200x200,"¥10,000",0,13%,0%,0,0,0,司法書士法人杉山事務所・相談申し込み完了,<a href = 'https://mttag.com/s/LLL8hbo9ZnQ' rel='nofollow'><strong>司法書士法人杉山事務所・相談申し込み完了</strong></a><img src = 'https://mttag.com/banner/LLL8hbo9ZnQ' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/LLL8hbo9ZnQ' rel='nofollow'><img src = 'https://mttag.com/banner/LLL8hbo9ZnQ' alt = '' width = '200' height = '200' border = '0' /></a>,https://mttag.com/s/LLL8hbo9ZnQ,2019-10-24 09:31:22.057000
582,03_600×500,mitas - 温活もできる葉酸サプリ,mitas,広告,600x500,￥3000,0,5349%,0%,0,0,0,史上初！温活もできる葉酸サプリmitas,<a href = 'https://mttag.com/s/SMW8C_jTgys' rel='nofollow'><strong>史上初！温活もできる葉酸サプリmitas</strong></a><img src = 'https://mttag.com/banner/SMW8C_jTgys' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/SMW8C_jTgys' rel='nofollow'><img src = 'https://mttag.com/banner/SMW8C_jTgys' alt = '史上初！温活もできる葉酸サプリmitas' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/SMW8C_jTgys,2019-10-22 05:22:07.016000
583,02_600×500,mitas - 温活もできる葉酸サプリ,mitas,広告,600x500,￥3000,0,388%,0%,0,0,0,史上初！温活もできる葉酸サプリmitas,<a href = 'https://mttag.com/s/MlW6jcC__1k' rel='nofollow'><strong>史上初！温活もできる葉酸サプリmitas</strong></a><img src = 'https://mttag.com/banner/MlW6jcC__1k' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/MlW6jcC__1k' rel='nofollow'><img src = 'https://mttag.com/banner/MlW6jcC__1k' alt = '史上初！温活もできる葉酸サプリmitas' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/MlW6jcC__1k,2019-10-22 05:21:46.332000
586,01_600×500,mitas - 温活もできる葉酸サプリ,mitas,広告,600x500,￥3000,0,2475%,0%,0,0,0,史上初！温活もできる葉酸サプリmitas,<a href = 'https://mttag.com/s/GMp-dxvR_5g' rel='nofollow'><strong>史上初！温活もできる葉酸サプリmitas</strong></a><img src = 'https://mttag.com/banner/GMp-dxvR_5g' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/GMp-dxvR_5g' rel='nofollow'><img src = 'https://mttag.com/banner/GMp-dxvR_5g' alt = '史上初！温活もできる葉酸サプリmitas' width = '600' height = '500' border = '0' /></a>,https://mttag.com/s/GMp-dxvR_5g,2019-10-22 05:20:33.537000
588,01_250×250,mitas - 温活もできる葉酸サプリ,mitas,広告,250x250,￥3000,0,42%,0%,0,0,0,史上初！温活もできる葉酸サプリmitas,<a href = 'https://mttag.com/s/e1R-2vX3zxM' rel='nofollow'><strong>史上初！温活もできる葉酸サプリmitas</strong></a><img src = 'https://mttag.com/banner/e1R-2vX3zxM' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/e1R-2vX3zxM' rel='nofollow'><img src = 'https://mttag.com/banner/e1R-2vX3zxM' alt = '史上初！温活もできる葉酸サプリmitas' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/e1R-2vX3zxM,2019-10-22 05:19:03.893000
590,01_200×200,mitas - 温活もできる葉酸サプリ,mitas,広告,200x200,￥3000,0,8%,0%,0,0,0,史上初！温活もできる葉酸サプリmitas,<a href = 'https://mttag.com/s/3di85gOrYn4' rel='nofollow'><strong>史上初！温活もできる葉酸サプリmitas</strong></a><img src = 'https://mttag.com/banner/3di85gOrYn4' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/3di85gOrYn4' rel='nofollow'><img src = 'https://mttag.com/banner/3di85gOrYn4' alt = '史上初！温活もできる葉酸サプリmitas' width = '200' height = '200' border = '0' /></a>,https://mttag.com/s/3di85gOrYn4,2019-10-22 05:18:19.095000
601,kaguya-bnr-300x250,エンジニア転職支援サービス Kaguya,エンジニア転職支援サービス【Kaguya】無料会員登録,広告,300x250,"¥8,000",0,1%,0%,0,0,0,エンジニアの転職ならKaguya,<a href = 'https://mttag.com/s/wTaimhUloQk' rel='nofollow'><strong>エンジニアの転職ならKaguya</strong></a><img src = 'https://mttag.com/banner/wTaimhUloQk' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/wTaimhUloQk' rel='nofollow'><img src = 'https://mttag.com/banner/wTaimhUloQk' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/wTaimhUloQk,2019-10-01 04:02:37.254000
604,samurai-bnr-300x250,グローバル・外資系・ハイクラス転職支援サービス Samurai Job,グローバル・外資系・ハイクラスの転職支援サービス【Samurai Job】無料会員登録,広告,300x250,"¥8,000",0,0%,0%,0,0,0,ハイクラス転職ならSamurai Job,<a href = 'https://mttag.com/s/A9KR0vklPIs' rel='nofollow'><strong>ハイクラス転職ならSamurai Job</strong></a><img src = 'https://mttag.com/banner/A9KR0vklPIs' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/A9KR0vklPIs' rel='nofollow'><img src = 'https://mttag.com/banner/A9KR0vklPIs' alt = '' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/A9KR0vklPIs,2019-10-01 03:59:56.829000
654,解体300,内装工事サポート,解体,広告,300x200,"¥1,000",0,17%,0%,0,0,0,解体　300×200,<a href = 'https://mttag.com/s/mgHd4c_vr-c' rel='nofollow'><strong>解体　300×200</strong></a><img src = 'https://mttag.com/banner/mgHd4c_vr-c' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/mgHd4c_vr-c' rel='nofollow'><img src = 'https://mttag.com/banner/mgHd4c_vr-c' alt = '' width = '300' height = '200' border = '0' /></a>,https://mttag.com/s/mgHd4c_vr-c,2018-11-11 03:50:50.202000
655,300,内装工事サポート,解体,広告,300x200,"¥1,000",0,50%,0%,0,0,0,解体　300×200,<a href = 'https://mttag.com/s/z1WsXnW1OKY' rel='nofollow'><strong>解体　300×200</strong></a><img src = 'https://mttag.com/banner/z1WsXnW1OKY' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/z1WsXnW1OKY' rel='nofollow'><img src = 'https://mttag.com/banner/z1WsXnW1OKY' alt = '' width = '300' height = '200' border = '0' /></a>,https://mttag.com/s/z1WsXnW1OKY,2018-11-11 03:50:04.094000
658,内装工事　300x200_1,内装工事サポート,内装工事サポートお申込み,広告,300x200,"¥1,000",0,2982%,0%,0,0,0,内装工事サポート,<a href = 'https://mttag.com/s/pJ0EdpUEe3k' rel='nofollow'><strong>内装工事サポート</strong></a><img src = 'https://mttag.com/banner/pJ0EdpUEe3k' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/pJ0EdpUEe3k' rel='nofollow'><img src = 'https://mttag.com/banner/pJ0EdpUEe3k' alt = '内装工事サポート' width = '300' height = '200' border = '0' /></a>,https://mttag.com/s/pJ0EdpUEe3k,2018-11-05 12:24:20.180000
659,内装工事　300x200_2,内装工事サポート,内装工事サポートお申込み,広告,300x200,"¥1,000",0,125%,1%,0,0,0,内装工事サポート,<a href = 'https://mttag.com/s/CSmnteS-LWg' rel='nofollow'><strong>内装工事サポート</strong></a><img src = 'https://mttag.com/banner/CSmnteS-LWg' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/CSmnteS-LWg' rel='nofollow'><img src = 'https://mttag.com/banner/CSmnteS-LWg' alt = '内装工事サポート' width = '300' height = '200' border = '0' /></a>,https://mttag.com/s/CSmnteS-LWg,2018-11-05 12:23:34.242000
665,GLOBAL CROWN_300_250_001,子ども専用オンライン英会話「GLOBAL CROWN（グローバルクラウン）」,GLOBAL CROWN 無料体験申し込み,広告,300x250,"¥3,000",0,98%,0%,0,0,0,体験レッスンお申込みはこちら,<a href = 'https://mttag.com/s/h7YJKyOv0Dc' rel='nofollow'><strong>体験レッスンお申込みはこちら</strong></a><img src = 'https://mttag.com/banner/h7YJKyOv0Dc' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/h7YJKyOv0Dc' rel='nofollow'><img src = 'https://mttag.com/banner/h7YJKyOv0Dc' alt = 'GLOBAL CROWN体験レッスン2回無料' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/h7YJKyOv0Dc,2018-10-25 08:52:53.850000
680,玄米麹スムージー 300x250,玄米麹スムージー（くらしいきいき株式会社）,管理栄養士が作ったダイエットスムージー『玄米麹スムージー』,広告,300x250,"¥2,000",0,1%,0%,0,0,0,置き換えダイエットには、玄米麹スムージー,<a href = 'https://mttag.com/s/rRbTSgGSLvE' rel='nofollow'><strong>置き換えダイエットには、玄米麹スムージー</strong></a><img src = 'https://mttag.com/banner/rRbTSgGSLvE' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/rRbTSgGSLvE' rel='nofollow'><img src = 'https://mttag.com/banner/rRbTSgGSLvE' alt = '置き換えダイエットには、玄米麹スムージー' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/rRbTSgGSLvE,2018-08-10 05:11:47.496999
718,アフィリエイター募集ver6(300x250),マネートラック,アフィリエイター登録,広告,300x250,¥300,0,4%,0%,0,0,0,マネートラックに無料登録,<a href = 'https://mttag.com/s/vNN_FbzPXUY' rel='nofollow'><strong>マネートラックに無料登録</strong></a><img src = 'https://mttag.com/banner/GhMW6Y0INBo' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/sj7F3jNjq10' rel='nofollow'><img src = 'https://mttag.com/banner/cLBdMgvXOwQ' alt = 'アフィリエイトASPのマネートラック' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/DnJND-shj0o,2017-12-21 07:30:27.723000
719,アフィリエイター募集ver6(250x250),マネートラック,アフィリエイター登録,広告,250x250,¥300,0,47%,0%,0,0,0,マネートラックでアフィリエイト,<a href = 'https://mttag.com/s/MDwQvPfqg4Q' rel='nofollow'><strong>マネートラックでアフィリエイト</strong></a><img src = 'https://mttag.com/banner/KxQ0v0GrJ_g' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/RmlUqpUkF80' rel='nofollow'><img src = 'https://mttag.com/banner/vQFqxNXfK5c' alt = 'アフィリエイトASPのマネートラック' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/Ixjk5okAThA,2017-12-21 07:29:42.069000
720,アフィリエイター募集ver6(200x200),マネートラック,リンクビルダー,広告,200x200,￥300,0,304%,0%,0,0,0,今なら審査なしで登録できる！,<a href = 'https://mttag.com/s/kfkTn_jDVHg' rel='nofollow'><strong>今なら審査なしで登録できる！</strong></a><img src = 'https://mttag.com/banner/1NOLnkiYJik' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/91eXtajZesc' rel='nofollow'><img src = 'https://mttag.com/banner/GFuGrMU4yBI' alt = 'アフィリエイトASPのマネートラック' width = '200' height = '200' border = '0' /></a>,https://mttag.com/s/HviLena7XHw,2017-12-21 07:26:04.317000
740,MEO SUPPORT バナー300×250,実店舗向けWEBプロモーションのMEO対策【MEO SUPPORT】,MEO SUPPORT 無料診断申し込み獲得プログラム,広告,300x250,¥500,0,180%,0%,0,0,0,,,<a href='https://mttag.com/s/MiqxteeCj_w' rel='nofollow'><img src = 'https://mttag.com/banner/MiqxteeCj_w' alt = 'meosupport' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/MiqxteeCj_w,2017-10-12 10:31:17.661000
751,ベルブランバナー　300×250 3b,ニキビ跡のシミケアブースター美白美容液【ベルブラン】,ベルブラン,広告,300x250,￥3024,0,12%,0%,0,0,0,,,<a href='https://mttag.com/s/L4w4s-Jtwwg' rel='nofollow'><img src = 'https://mttag.com/banner/L4w4s-Jtwwg' alt = 'ニキビ跡をブースター美白ケア　初回2280円で試す' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/L4w4s-Jtwwg,2017-08-23 06:43:36.046001
752,ベルブランバナー　300×250 2b,ニキビ跡のシミケアブースター美白美容液【ベルブラン】,ベルブラン,広告,300x250,￥3024,0,19%,0%,0,0,0,,,<a href='https://mttag.com/s/tTO0TbjYuAE' rel='nofollow'><img src = 'https://mttag.com/banner/tTO0TbjYuAE' alt = 'ニキビ跡をブースター美白ケア　初回2280円で試す' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/tTO0TbjYuAE,2017-08-23 06:42:58.012000
753,ベルブランバナー　300×250　1b,ニキビ跡のシミケアブースター美白美容液【ベルブラン】,ベルブラン,広告,300x250,￥3024,0,0%,0%,0,0,0,,,<a href='https://mttag.com/s/YkfpPvSdvdQ' rel='nofollow'><img src = 'https://mttag.com/banner/YkfpPvSdvdQ' alt = 'ニキビ跡をブースター美白ケア　初回2280円で試す' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/YkfpPvSdvdQ,2017-08-23 06:42:29.183000
754,ベルブランバナー　300×250　3,ニキビ跡のシミケアブースター美白美容液【ベルブラン】,ベルブラン,広告,300x250,￥3024,0,27%,0%,0,0,0,,,<a href='https://mttag.com/s/XuYA9pBEhtU' rel='nofollow'><img src = 'https://mttag.com/banner/XuYA9pBEhtU' alt = 'ニキビ跡のそのシミ　ブースター美白ケア　14日間お試し' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/XuYA9pBEhtU,2017-08-23 06:41:49.280000
755,ベルブランバナー　300×250　2,ニキビ跡のシミケアブースター美白美容液【ベルブラン】,ベルブラン,広告,300x250,￥3024,0,50%,0%,0,0,0,,,<a href='https://mttag.com/s/a18lNSqbsxc' rel='nofollow'><img src = 'https://mttag.com/banner/a18lNSqbsxc' alt = 'ニキビ跡のそのシミ　ブースター美白ケア　14日間お試し' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/a18lNSqbsxc,2017-08-23 06:41:00.769000
756,ベルブランバナー　300×250,ニキビ跡のシミケアブースター美白美容液【ベルブラン】,ベルブラン,広告,300x250,￥3024,0,432%,0%,0,0,0,,,<a href='https://mttag.com/s/-R9-OUmWLkI' rel='nofollow'><img src = 'https://mttag.com/banner/-R9-OUmWLkI' alt = 'ニキビ跡のそのシミ　ブースター美白ケア　14日間お試し' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/-R9-OUmWLkI,2017-08-23 06:40:03.182000
772,アフィリエイター募集ver4(300x250),マネートラック,アフィリエイター登録,広告,300x250,¥300,0,1%,0%,0,0,0,マネートラックに無料登録,<a href = 'https://mttag.com/s/-l-f7Kk0uFo' rel='nofollow'><strong>マネートラックに無料登録</strong></a><img src = 'https://mttag.com/banner/SSA49b3ibY8' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/_9cK-TK_I-w' rel='nofollow'><img src = 'https://mttag.com/banner/pKpsCoOlq-8' alt = 'アフィリエイトASPのマネートラック' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/oGulHxW8uTs,2017-05-08 08:48:07.441000
788,マネートラック広告主募集(300px x 250px),マネートラック,広告主登録,広告,300x250,"¥10,000",0,0%,0%,0,0,0,,,<a href='https://mttag.com/s/FXMuwV2KhT8' rel='nofollow'><img src = 'https://mttag.com/banner/Vr8aiX8aNKk' alt = 'アフィリエイトASPマネートラック' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/MCkG7Y-LpAU,2016-09-21 04:19:56.958000
791,マネートラック広告主募集(200px x 200px),マネートラック,広告主登録,広告,200x200,"¥10,000",0,18%,0%,0,0,0,,,<a href='https://mttag.com/s/jl8suFtoBN8' rel='nofollow'><img src = 'https://mttag.com/banner/c38HC2YwPRI' alt = 'アフィリエイトASPマネートラック' width = '200' height = '200' border = '0' /></a>,https://mttag.com/s/4TS7fcWgjm4,2016-09-21 04:14:12.231000
